timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4,X_M5,Y_M5,Z_M5,,,
1540477713.67978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.905212,-0.807988,0.41414,-0.885842,-0.894507,0.413062,-0.721445,-0.915927,0.414962,-0.687675,-0.72223,0.420155,-0.78978,-0.830583,0.592514,,,
1540477713.72971,1.38,-85,1.081,-80,0.872,-84,1.512,-79,2.364,-87,3.123,-84,2.855,-88,2.046,-87,-0.90555,-0.802688,0.414402,-0.886972,-0.889115,0.412919,-0.724062,-0.914587,0.414912,-0.685102,-0.721205,0.420276,-0.789146,-0.826311,0.592721,,,
1540477713.77972,1.371,-81,1.053,-81,0.88,-81,1.526,-80,2.341,-83,3.109,-85,2.837,-88,2.032,-87,-0.904377,-0.796448,0.414431,-0.888723,-0.884094,0.413317,-0.726163,-0.913532,0.415092,-0.68223,-0.721554,0.420156,-0.78969,-0.824517,0.592882,,,
1540477713.82973,1.362,-81,1.053,-80,0.88,-81,1.521,-80,2.336,-83,3.095,-85,2.855,-87,2.036,-87,-0.903781,-0.79063,0.414396,-0.889936,-0.879287,0.412805,-0.729158,-0.912395,0.415191,-0.679813,-0.721814,0.420021,-0.788741,-0.819662,0.592783,,,
1540477713.87973,1.292,-81,1.072,-80,0.894,-80,1.53,-79,2.336,-84,3.085,-85,2.865,-87,2.008,-86,-0.903122,-0.784896,0.414705,-0.892116,-0.872847,0.413502,-0.73104,-0.9109,0.414974,-0.67727,-0.72232,0.420352,-0.788674,-0.817692,0.592707,,,
1540477713.92972,1.343,-83,1.03,-81,0.908,-83,1.54,-80,2.341,-83,3.104,-85,2.841,-91,2.013,-92,-0.9019,-0.780409,0.414874,-0.893845,-0.868353,0.414101,-0.733269,-0.910553,0.41509,-0.67459,-0.723134,0.419936,-0.788114,-0.816103,0.593275,,,
1540477713.97971,1.352,-83,1.058,-81,0.955,-83,1.559,-80,2.345,-83,3.118,-85,2.804,-89,1.943,-86,-0.901058,-0.773928,0.414862,-0.89479,-0.86246,0.414146,-0.73562,-0.908885,0.415039,-0.671172,-0.723159,0.419925,-0.788218,-0.813,0.592735,,,
1540477714.02971,1.348,-82,1.03,-81,0.867,-80,1.484,-79,2.345,-83,3.095,-85,2.814,-88,1.919,-86,-0.899292,-0.768629,0.414997,-0.895812,-0.857665,0.414201,-0.738078,-0.907989,0.414849,-0.668571,-0.724406,0.41994,-0.787699,-0.810772,0.593175,,,
1540477714.07971,1.32,-82,1.039,-81,0.886,-80,1.507,-81,2.331,-83,3.118,-86,2.8,-88,1.891,-87,-0.898343,-0.763499,0.415436,-0.897108,-0.851845,0.414966,-0.73974,-0.907022,0.414518,-0.666271,-0.724862,0.420069,-0.787601,-0.809579,0.592569,,,
1540477714.12971,1.306,-81,1.081,-80,0.876,-80,1.488,-80,2.341,-86,3.099,-88,2.818,-88,1.886,-85,-0.896126,-0.757951,0.415369,-0.896696,-0.845972,0.414327,-0.742332,-0.905774,0.414663,-0.663595,-0.725875,0.420354,-0.786729,-0.806818,0.592919,,,
1540477714.17974,1.348,-81,1.049,-80,0.862,-81,1.479,-82,2.322,-84,3.099,-89,2.804,-89,1.891,-85,-0.89387,-0.751704,0.41533,-0.89721,-0.840428,0.414287,-0.74475,-0.904392,0.414994,-0.660961,-0.726989,0.419969,-0.785807,-0.803232,0.593469,,,
1540477714.22971,1.325,-81,1.077,-81,0.843,-80,1.451,-80,2.35,-84,3.127,-88,2.795,-89,1.835,-86,-0.892609,-0.746844,0.415598,-0.897309,-0.83452,0.414505,-0.746685,-0.90268,0.415216,-0.658602,-0.727663,0.420231,-0.785294,-0.8021,0.593142,,,
1540477714.27976,1.287,-81,1.081,-80,0.839,-80,1.423,-80,2.331,-84,3.085,-89,2.772,-90,1.835,-84,-0.890072,-0.741147,0.415873,-0.89764,-0.829459,0.414917,-0.748675,-0.901361,0.41496,-0.6557,-0.728678,0.420199,-0.784188,-0.797737,0.593481,,,
1540477714.32972,1.329,-81,1.058,-80,0.872,-80,1.427,-80,2.317,-84,3.113,-87,2.79,-89,1.849,-84,-0.888046,-0.736186,0.415673,-0.897684,-0.824018,0.414662,-0.750795,-0.900204,0.414856,-0.652699,-0.72943,0.420328,-0.783702,-0.796224,0.593019,,,
1540477714.37977,1.278,-81,1.034,-80,0.839,-80,1.474,-81,2.336,-85,3.085,-88,2.753,-92,1.817,-84,-0.885629,-0.731425,0.416073,-0.89782,-0.819588,0.415153,-0.75319,-0.899294,0.414899,-0.651093,-0.730402,0.420392,-0.782493,-0.794299,0.593294,,,
1540477714.42972,1.301,-82,1.086,-80,0.862,-80,1.427,-80,2.359,-85,3.104,-87,2.753,-88,1.853,-83,-0.882975,-0.726003,0.416326,-0.897896,-0.813207,0.415202,-0.75579,-0.896333,0.415482,-0.648623,-0.732734,0.420047,-0.779809,-0.789943,0.593931,,,
1540477714.47968,1.311,-82,1.072,-80,0.82,-81,1.437,-81,2.289,-87,3.113,-88,2.729,-91,1.835,-83,-0.879683,-0.7208,0.416369,-0.897084,-0.807279,0.415121,-0.756744,-0.895265,0.414888,-0.645621,-0.734376,0.419934,-0.780311,-0.789343,0.593609,,,
1540477714.52972,1.339,-81,1.044,-80,0.815,-80,1.465,-79,2.341,-85,3.099,-89,2.739,-88,1.817,-84,-0.876139,-0.714188,0.416555,-0.897348,-0.800463,0.415535,-0.760305,-0.893829,0.414996,-0.642792,-0.736299,0.420073,-0.779056,-0.786799,0.594022,,,
1540477714.57978,1.334,-81,1.058,-80,0.792,-81,1.498,-79,2.336,-86,3.066,-90,2.706,-89,1.798,-83,-0.872251,-0.707193,0.416836,-0.897445,-0.792665,0.416062,-0.764834,-0.891809,0.415193,-0.639658,-0.740551,0.420072,-0.77849,-0.784493,0.593888,,,
1540477714.62972,1.329,-83,1.077,-80,0.773,-80,1.469,-79,2.308,-92,3.019,-92,2.715,-91,1.807,-84,-0.867729,-0.701428,0.417208,-0.896513,-0.785544,0.416773,-0.767732,-0.890131,0.415368,-0.63695,-0.74353,0.41993,-0.777383,-0.782979,0.593932,,,
1540477714.67972,1.353,-82,1.053,-81,0.797,-80,1.413,-79,2.322,-87,3.001,-89,2.757,-90,1.784,-83,-0.862927,-0.695837,0.417358,-0.894284,-0.7785,0.416764,-0.770602,-0.888813,0.415476,-0.633959,-0.746628,0.420213,-0.774897,-0.780401,0.594274,,,
1540477714.72978,1.329,-83,1.03,-80,0.811,-80,1.488,-79,2.312,-87,2.935,-89,2.743,-90,1.793,-83,-0.858251,-0.689914,0.417461,-0.893084,-0.771562,0.41685,-0.774372,-0.886682,0.415512,-0.631636,-0.752686,0.419629,-0.773297,-0.777637,0.594655,,,
1540477714.77972,1.437,-89,1.034,-79,0.82,-80,1.488,-79,2.27,-88,3.146,-88,2.753,-88,1.741,-83,-0.853461,-0.684693,0.417697,-0.891964,-0.764266,0.416625,-0.778156,-0.883975,0.415393,-0.62986,-0.755297,0.419551,-0.773115,-0.776047,0.594253,,,
1540477714.82971,1.446,-83,1.053,-80,0.773,-80,1.479,-79,2.237,-90,3.544,-88,2.757,-88,1.798,-86,-0.848816,-0.678946,0.417768,-0.890167,-0.757028,0.416765,-0.78145,-0.881926,0.415463,-0.627815,-0.75901,0.419641,-0.771549,-0.773817,0.594694,,,
1540477714.87972,1.502,-87,1.053,-80,0.815,-80,1.53,-81,0,0,3.446,-93,2.701,-93,1.746,-84,-0.843287,-0.673762,0.417962,-0.887859,-0.7504,0.417128,-0.783897,-0.878973,0.415455,-0.625784,-0.76236,0.419643,-0.769348,-0.771794,0.59463,,,
1540477714.92972,1.46,-82,1.063,-80,0.806,-80,1.516,-79,2.242,-87,3.436,-88,2.734,-87,1.756,-82,-0.837665,-0.669637,0.418193,-0.88524,-0.743628,0.41713,-0.787259,-0.876939,0.415563,-0.624282,-0.767569,0.419511,-0.767705,-0.769877,0.594569,,,
1540477714.97976,1.399,-81,1.025,-80,0.815,-80,1.568,-79,2.186,-87,3.296,-89,2.725,-87,1.751,-82,-0.83188,-0.664285,0.418237,-0.882492,-0.736405,0.417302,-0.791033,-0.87396,0.415829,-0.622887,-0.771889,0.419618,-0.766258,-0.768138,0.594135,,,
1540477715.02972,1.371,-82,1.086,-80,0.764,-80,1.535,-79,2.228,-88,3.198,-89,2.659,-85,1.732,-82,-0.826607,-0.659965,0.418265,-0.880147,-0.730138,0.417062,-0.79358,-0.871161,0.415667,-0.621897,-0.775921,0.419185,-0.765633,-0.766308,0.594179,,,
1540477715.07979,1.362,-81,1.044,-80,0.843,-80,1.53,-79,2.331,-89,3.165,-89,2.65,-85,1.732,-83,-0.81983,-0.654904,0.418247,-0.87647,-0.722419,0.417338,-0.796568,-0.867629,0.415606,-0.621328,-0.780111,0.419435,-0.764165,-0.764183,0.593955,,,
1540477715.12971,1.371,-81,1.11,-80,0.839,-81,1.582,-79,2.214,-87,3.137,-89,2.654,-84,1.732,-82,-0.813396,-0.650752,0.418091,-0.873391,-0.716604,0.417645,-0.799158,-0.864745,0.41564,-0.619573,-0.78409,0.41921,-0.761656,-0.762505,0.593905,,,
1540477715.17971,1.282,-80,1.11,-80,0.876,-81,1.573,-79,2.481,-87,3.174,-88,2.635,-83,1.713,-82,-0.80691,-0.647611,0.418275,-0.869487,-0.710229,0.417409,-0.802309,-0.861254,0.41533,-0.619688,-0.789263,0.419227,-0.76037,-0.762154,0.594033,,,
1540477715.22971,1.301,-81,1.11,-80,0.917,-81,1.582,-79,2.757,-86,3.17,-87,2.64,-83,1.709,-83,-0.800921,-0.644135,0.418422,-0.86637,-0.704685,0.417206,-0.804851,-0.857733,0.415176,-0.620109,-0.793936,0.419135,-0.759064,-0.760061,0.594251,,,
1540477715.27975,1.25,-80,1.058,-80,0.87,-81,1.563,-79,2.528,-85,3.165,-86,2.631,-83,1.737,-82,-0.793963,-0.640665,0.418342,-0.862048,-0.698241,0.41729,-0.808228,-0.854167,0.415865,-0.619663,-0.797858,0.419102,-0.757832,-0.758165,0.594192,,,
1540477715.32972,1.292,-81,1.142,-80,0.941,-85,1.559,-80,2.734,-89,3.137,-91,2.682,-87,1.737,-83,-0.786864,-0.637927,0.418516,-0.857624,-0.692166,0.417649,-0.809932,-0.85092,0.41551,-0.619777,-0.80253,0.419222,-0.756524,-0.75797,0.595083,,,
1540477715.37982,1.24,-81,1.091,-80,0.88,-82,1.507,-79,2.748,-87,3.104,-85,2.645,-84,1.709,-82,-0.780023,-0.635989,0.418752,-0.852391,-0.686912,0.417652,-0.812724,-0.84725,0.415121,-0.619712,-0.80669,0.419276,-0.7537,-0.75578,0.593692,,,
1540477715.42971,1.273,-81,1.072,-80,0.884,-84,1.488,-80,2.739,-84,3.09,-85,2.64,-82,1.718,-82,-0.773123,-0.63383,0.41864,-0.847604,-0.681766,0.417868,-0.814224,-0.84384,0.415958,-0.62072,-0.812324,0.41899,-0.751486,-0.755168,0.594131,,,
1540477715.47979,1.226,-81,1.053,-80,0.843,-85,1.498,-79,2.687,-84,3.048,-86,2.626,-81,1.704,-84,-0.767137,-0.632216,0.418954,-0.843024,-0.677828,0.417987,-0.814638,-0.840981,0.415781,-0.620418,-0.815702,0.418643,-0.749291,-0.754307,0.594279,,,
1540477715.52977,1.203,-81,1.081,-80,0.787,-84,1.516,-79,2.701,-85,3.001,-91,2.682,-86,1.732,-84,-0.759426,-0.630202,0.419312,-0.837706,-0.672255,0.418209,-0.816324,-0.836835,0.416463,-0.620513,-0.81988,0.418496,-0.746918,-0.752885,0.594177,,,
1540477715.57976,1.193,-80,1.118,-80,0.782,-86,1.563,-79,2.645,-85,3.024,-92,2.64,-82,1.713,-84,-0.751477,-0.628712,0.418982,-0.831873,-0.6672,0.418145,-0.819306,-0.831378,0.415903,-0.621868,-0.825075,0.419114,-0.745996,-0.752242,0.594665,,,
1540477715.62974,1.161,-80,1.105,-82,0.773,-84,1.53,-79,2.617,-84,3.001,-86,2.584,-81,1.709,-82,-0.743501,-0.627809,0.41895,-0.826094,-0.662751,0.418107,-0.820268,-0.827217,0.415724,-0.624741,-0.82992,0.418623,-0.741694,-0.750746,0.592955,,,
1540477715.67971,1.184,-80,1.072,-80,0.778,-86,1.507,-81,2.575,-83,3.01,-87,2.621,-82,1.69,-82,-0.736139,-0.627242,0.419046,-0.819725,-0.65803,0.418108,-0.82192,-0.822805,0.416277,-0.626008,-0.834205,0.418674,-0.740544,-0.750865,0.594429,,,
1540477715.72971,1.179,-80,1.119,-81,0.792,-84,1.516,-79,2.673,-84,2.982,-86,2.584,-83,1.704,-82,-0.728832,-0.626795,0.419089,-0.813661,-0.654295,0.418544,-0.822231,-0.818989,0.416042,-0.626845,-0.838486,0.418207,-0.738977,-0.750512,0.594352,,,
1540477715.77971,1.207,-80,1.114,-81,0.773,-86,1.535,-80,2.584,-86,2.991,-88,2.584,-82,1.751,-83,-0.721052,-0.626611,0.419242,-0.806887,-0.650839,0.418445,-0.823165,-0.815297,0.416061,-0.628422,-0.842688,0.418253,-0.737476,-0.751098,0.594644,,,
1540477715.82971,1.175,-80,1.128,-81,0.768,-87,1.526,-80,2.495,-84,2.968,-89,2.589,-81,1.737,-83,-0.714102,-0.627801,0.419729,-0.800744,-0.648037,0.418823,-0.823869,-0.811219,0.41632,-0.6306,-0.84712,0.418137,-0.734313,-0.750893,0.594498,,,
1540477715.87979,1.142,-80,1.072,-80,0.731,-82,1.488,-80,2.397,-84,3.001,-87,2.584,-82,1.723,-82,-0.706146,-0.629019,0.419959,-0.793732,-0.64548,0.419114,-0.82329,-0.807752,0.416227,-0.632344,-0.85178,0.418056,-0.731726,-0.751148,0.594442,,,
