timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4,X_M5,Y_M5,Z_M5
1540478218.20863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.379628,0.137433,0.432469,-0.462231,0.10251,0.431903,-0.455511,-0.0629019,0.431409,-0.260294,-0.0644911,0.435062,-0.379805,0.0156154,0.609403
1540478218.25863,0.684,-80,1.863,-83,0.768,-79,1.643,-82,1.961,-84,2.444,-89,1.845,-81,1.006,-80,-0.371592,0.137804,0.432336,-0.454135,0.104311,0.431785,-0.449767,-0.0606301,0.431101,-0.254335,-0.0653792,0.435151,-0.373023,0.0165383,0.609285
1540478218.30866,0.75,-79,1.858,-84,0.82,-79,1.325,-82,1.966,-84,2.35,-89,1.817,-81,1.02,-80,-0.363106,0.138474,0.432379,-0.446735,0.105931,0.432012,-0.444124,-0.0592238,0.431347,-0.248997,-0.0664519,0.435155,-0.366642,0.0173413,0.609468
1540478218.35864,0.721,-80,1.924,-82,0.778,-81,1.142,-84,1.947,-85,2.298,-88,1.817,-81,1.02,-81,-0.355058,0.138777,0.43263,-0.437856,0.107646,0.431894,-0.43852,-0.0575641,0.431344,-0.243207,-0.0672455,0.435155,-0.359807,0.0180987,0.609222
1540478218.40865,0.698,-79,1.872,-83,0.773,-79,1.292,-82,1.975,-84,2.28,-88,1.774,-82,1.02,-80,-0.346937,0.138956,0.432836,-0.430356,0.108425,0.432185,-0.432698,-0.0564821,0.431563,-0.236922,-0.0684839,0.435241,-0.352149,0.0175522,0.609684
1540478218.45866,0.74,-79,1.858,-83,0.801,-80,1.339,-83,1.952,-84,2.355,-88,1.821,-81,0.978,-80,-0.33855,0.13904,0.433065,-0.422659,0.109571,0.43217,-0.425874,-0.0549472,0.431272,-0.230874,-0.0696401,0.435261,-0.3448,0.0176394,0.609531
1540478218.50863,0.712,-79,1.882,-84,0.74,-79,1.077,-81,1.919,-84,2.359,-89,1.784,-86,1.006,-80,-0.329396,0.139598,0.432673,-0.414336,0.110788,0.432392,-0.420118,-0.0536138,0.431567,-0.225151,-0.0709209,0.435277,-0.337716,0.0184063,0.609472
1540478218.55864,0.75,-80,1.877,-84,0.825,-79,0,0,1.933,-89,0,0,1.779,-83,1.016,-80,-0.320857,0.139393,0.432957,-0.40574,0.112156,0.432588,-0.41452,-0.0526771,0.431802,-0.219296,-0.072262,0.435252,-0.330372,0.0181613,0.609581
1540478218.60864,0.721,-80,1.891,-83,0.825,-80,1.081,-81,1.919,-84,2.355,-85,1.76,-82,1.044,-80,-0.312169,0.13915,0.433117,-0.397693,0.112928,0.432842,-0.408376,-0.0515188,0.431767,-0.21315,-0.073903,0.435288,-0.324114,0.0187948,0.609605
1540478218.65865,0.754,-80,1.905,-83,0.811,-79,1.03,-81,1.933,-86,2.322,-85,1.746,-82,1.034,-79,-0.303038,0.13876,0.433254,-0.38848,0.113775,0.432875,-0.401403,-0.050577,0.432205,-0.20717,-0.07544,0.435115,-0.316666,0.0183937,0.609838
