,R1,R2,R3,R4,R5,R6,R7,R8,X_M5,Y_M5,Z_M5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.78978,-0.830583,0.675514
1,1.38,1.081,0.872,1.5119999999999998,2.364,3.123,2.855,2.046,-0.789146,-0.826311,0.675721
2,1.371,1.053,0.88,1.526,2.341,3.109,2.837,2.032,-0.78969,-0.824517,0.675882
3,1.362,1.053,0.88,1.521,2.336,3.095,2.855,2.036,-0.788741,-0.8196620000000001,0.6757829999999999
4,1.2919999999999998,1.072,0.894,1.53,2.336,3.085,2.865,2.008,-0.788674,-0.817692,0.675707
5,1.3430000000000002,1.03,0.908,1.54,2.341,3.104,2.841,2.013,-0.788114,-0.816103,0.676275
6,1.352,1.058,0.955,1.5590000000000002,2.345,3.1180000000000003,2.804,1.943,-0.788218,-0.813,0.675735
7,1.348,1.03,0.867,1.484,2.345,3.095,2.814,1.919,-0.7876989999999999,-0.810772,0.676175
8,1.32,1.039,0.8859999999999999,1.507,2.331,3.1180000000000003,2.8,1.891,-0.787601,-0.809579,0.675569
9,1.306,1.081,0.8759999999999999,1.4880000000000002,2.341,3.099,2.818,1.886,-0.786729,-0.806818,0.6759189999999999
10,1.348,1.0490000000000002,0.862,1.479,2.322,3.099,2.804,1.891,-0.7858069999999999,-0.803232,0.6764689999999999
11,1.325,1.077,0.843,1.4509999999999998,2.35,3.127,2.795,1.835,-0.7852939999999999,-0.8021,0.676142
12,1.287,1.081,0.8390000000000001,1.423,2.331,3.085,2.772,1.835,-0.784188,-0.797737,0.676481
13,1.329,1.058,0.872,1.4269999999999998,2.317,3.113,2.79,1.849,-0.783702,-0.7962239999999999,0.6760189999999999
14,1.278,1.034,0.8390000000000001,1.474,2.336,3.085,2.753,1.817,-0.782493,-0.794299,0.676294
15,1.301,1.086,0.862,1.4269999999999998,2.359,3.104,2.753,1.853,-0.779809,-0.7899430000000001,0.676931
16,1.311,1.072,0.82,1.4369999999999998,2.289,3.113,2.729,1.835,-0.780311,-0.789343,0.676609
17,1.339,1.044,0.815,1.465,2.341,3.099,2.739,1.817,-0.7790560000000001,-0.786799,0.677022
18,1.334,1.058,0.792,1.4980000000000002,2.336,3.0660000000000003,2.7060000000000004,1.798,-0.77849,-0.784493,0.6768879999999999
19,1.329,1.077,0.773,1.469,2.3080000000000003,3.019,2.715,1.807,-0.777383,-0.782979,0.676932
20,1.3530000000000002,1.053,0.797,1.413,2.322,3.0010000000000003,2.757,1.784,-0.7748970000000001,-0.780401,0.6772739999999999
21,1.329,1.03,0.8109999999999999,1.4880000000000002,2.312,2.935,2.7430000000000003,1.793,-0.773297,-0.777637,0.677655
22,1.4369999999999998,1.034,0.82,1.4880000000000002,2.27,3.1460000000000004,2.753,1.741,-0.773115,-0.776047,0.6772529999999999
23,1.446,1.053,0.773,1.479,2.237,3.544,2.757,1.798,-0.7715489999999999,-0.773817,0.6776939999999999
24,1.5019999999999998,1.053,0.815,1.53,0.0,3.446,2.701,1.746,-0.7693479999999999,-0.771794,0.67763
25,1.46,1.063,0.8059999999999999,1.516,2.242,3.4360000000000004,2.734,1.756,-0.767705,-0.769877,0.677569
26,1.399,1.025,0.815,1.568,2.186,3.2960000000000003,2.725,1.751,-0.766258,-0.768138,0.677135
27,1.371,1.086,0.764,1.535,2.228,3.198,2.659,1.732,-0.765633,-0.766308,0.677179
28,1.362,1.044,0.843,1.53,2.331,3.165,2.65,1.732,-0.764165,-0.764183,0.676955
29,1.371,1.11,0.8390000000000001,1.582,2.214,3.137,2.654,1.732,-0.761656,-0.762505,0.676905
30,1.2819999999999998,1.11,0.8759999999999999,1.5730000000000002,2.481,3.174,2.635,1.713,-0.76037,-0.762154,0.677033
31,1.301,1.11,0.917,1.582,2.757,3.17,2.64,1.709,-0.7590640000000001,-0.760061,0.6772509999999999
32,1.25,1.058,0.87,1.5630000000000002,2.528,3.165,2.631,1.737,-0.757832,-0.758165,0.677192
33,1.2919999999999998,1.142,0.941,1.5590000000000002,2.734,3.137,2.682,1.737,-0.756524,-0.75797,0.678083
34,1.24,1.091,0.88,1.507,2.748,3.104,2.645,1.709,-0.7537,-0.75578,0.676692
35,1.273,1.072,0.884,1.4880000000000002,2.739,3.09,2.64,1.7180000000000002,-0.751486,-0.7551680000000001,0.677131
36,1.226,1.053,0.843,1.4980000000000002,2.687,3.048,2.6260000000000003,1.704,-0.749291,-0.754307,0.677279
37,1.203,1.081,0.787,1.516,2.701,3.0010000000000003,2.682,1.732,-0.7469180000000001,-0.752885,0.677177
38,1.193,1.118,0.782,1.5630000000000002,2.645,3.024,2.64,1.713,-0.745996,-0.752242,0.677665
39,1.161,1.105,0.773,1.53,2.617,3.0010000000000003,2.584,1.709,-0.741694,-0.750746,0.675955
40,1.1840000000000002,1.072,0.778,1.507,2.575,3.01,2.6210000000000004,1.69,-0.740544,-0.750865,0.677429
41,1.179,1.119,0.792,1.516,2.673,2.982,2.584,1.704,-0.738977,-0.750512,0.677352
42,1.207,1.114,0.773,1.535,2.584,2.991,2.584,1.751,-0.737476,-0.7510979999999999,0.6776439999999999
43,1.175,1.128,0.768,1.526,2.495,2.968,2.589,1.737,-0.734313,-0.750893,0.6774979999999999
44,1.142,1.072,0.731,1.4880000000000002,2.397,3.0010000000000003,2.584,1.723,-0.731726,-0.7511479999999999,0.677442
45,1.175,1.128,0.736,1.5630000000000002,2.383,2.9960000000000004,2.57,1.709,-0.729125,-0.751637,0.677967
46,1.165,1.091,0.721,1.54,2.3080000000000003,2.987,2.547,1.695,-0.726527,-0.750771,0.6779919999999999
47,1.165,1.142,0.703,1.605,2.275,2.935,2.533,1.699,-0.7259899999999999,-0.7510560000000001,0.6784209999999999
