,Unnamed: 0,timestamp,R1,RSS1,R2,RSS2,R3,RSS3,R4,RSS4,R5,RSS5,R6,RSS6,R7,RSS7,R8,RSS8,X_M1,Y_M1,Z_M1,X_M2,Y_M2,Z_M2,X_M3,Y_M3,Z_M3,X_M4,Y_M4,Z_M4
0,0,1541175495,3.848,-83,3.698,-86,4.148,-87,0.787,-81,2.158,-86,1.371,-81,4.494,-87,2.687,-89,0.8241930000000001,0.406298,1.46467,0.712719,0.40445,1.4654,0.710963,0.405237,1.35412,0.821399,0.406673,1.35286
1,1,1541175495,3.891,-83,3.656,-86,4.106,-85,0.74,-80,2.13,-85,1.357,-81,4.509,-86,2.757,-90,0.835219,0.406749,1.46461,0.722683,0.404545,1.46568,0.721242,0.40558,1.35374,0.8317260000000001,0.4069,1.35295
2,2,1541175495,3.811,-83,3.712,-86,4.125,-86,0.759,-80,2.101,-85,1.371,-81,4.513,-87,2.739,-90,0.844767,0.40628,1.46471,0.732647,0.404705,1.46577,0.730534,0.405469,1.35359,0.841195,0.406716,1.35339
3,3,1541175495,3.806,-83,3.717,-86,4.129,-87,0.82,-79,2.115,-86,1.376,-81,4.513,-86,2.748,-91,0.854193,0.406456,1.46511,0.7425149999999999,0.404875,1.4662,0.740799,0.406217,1.35483,0.8513069999999999,0.406923,1.3542299999999998
4,4,1541175495,3.83,-83,3.68,-86,4.106,-86,0.792,-79,2.097,-85,1.394,-83,4.49,-86,2.772,-90,0.864775,0.406675,1.46481,0.752807,0.404903,1.4655,0.750609,0.406167,1.35426,0.860899,0.407034,1.35307
5,5,1541175495,3.844,-84,3.736,-85,4.186,-86,0.764,-79,2.087,-86,1.39,-81,4.55,-86,2.786,-90,0.874489,0.406851,1.4642700000000002,0.762389,0.4051030000000001,1.46499,0.76065,0.40612,1.35296,0.870813,0.406747,1.35315
6,6,1541175495,3.816,-84,3.759,-85,4.167,-87,0.787,-79,2.05,-86,1.39,-81,4.541,-87,2.79,-90,0.884652,0.406485,1.46392,0.772612,0.4050760000000001,1.46466,0.770967,0.406084,1.35392,0.881164,0.406772,1.35281
7,7,1541175495,3.811,-84,3.731,-85,4.167,-87,0.736,-79,2.065,-86,1.404,-81,4.597,-86,2.753,-90,0.895035,0.406983,1.46354,0.78328,0.405578,1.46466,0.781461,0.406559,1.35283,0.891985,0.406929,1.35241
8,8,1541175495,3.82,-84,3.783,-85,4.162,-88,0.698,-80,2.05,-85,1.4269999999999998,-81,4.644,-86,2.772,-90,0.904975,0.40696,1.46298,0.7935399999999999,0.40572,1.46362,0.79088,0.40574,1.35412,0.901789,0.407296,1.3518
9,9,1541175495,3.802,-85,3.797,-85,4.078,-88,0.66,-80,2.004,-86,1.4369999999999998,-81,4.564,-86,2.781,-90,0.915589,0.406663,1.46211,0.8033100000000001,0.405545,1.46326,0.8013979999999999,0.405946,1.35323,0.911865,0.407313,1.35096
10,10,1541175495,3.82,-86,3.755,-87,4.115,-88,0.679,-80,2.022,-85,1.455,-81,4.569,-88,2.734,-89,0.925229,0.407056,1.46185,0.813127,0.405541,1.4632,0.810623,0.405889,1.35236,0.921329,0.407042,1.3508
11,11,1541175495,3.806,-84,3.773,-85,4.176,-87,0.6559999999999999,-80,2.083,-86,1.46,-81,4.569,-86,2.804,-90,0.934887,0.407102,1.46191,0.82283,0.406065,1.46287,0.820152,0.405974,1.35239,0.930896,0.407091,1.3511799999999998
12,12,1541175495,3.806,-83,3.778,-85,4.12,-90,0.6890000000000001,-79,2.05,-85,1.408,-81,4.6110000000000015,-87,2.795,-89,0.944631,0.407268,1.46209,0.832306,0.406092,1.46242,0.830442,0.406605,1.3515700000000002,0.940549,0.407339,1.35123
13,13,1541175495,3.811,-84,3.82,-85,4.186,-91,0.703,-79,2.027,-86,1.4409999999999998,-81,4.606,-87,2.795,-88,0.954759,0.407395,1.46163,0.842309,0.406339,1.46277,0.8396370000000001,0.406087,1.35233,0.950439,0.407545,1.35096
14,14,1541175496,3.787,-84,3.792,-87,4.11,-92,0.67,-80,2.041,-85,1.484,-82,4.6160000000000005,-89,2.813,-93,0.964666,0.4075760000000001,1.46192,0.852828,0.406376,1.46357,0.849759,0.406223,1.35271,0.960515,0.407504,1.3508
15,15,1541175496,3.82,-85,3.787,-87,4.204,-91,0.665,-79,2.046,-86,1.469,-82,4.658,-90,2.795,-89,0.974576,0.40743,1.46207,0.8619969999999999,0.406293,1.46306,0.859992,0.406688,1.3526200000000002,0.970695,0.408016,1.3505
16,16,1541175496,3.787,-83,3.773,-86,4.143,-89,0.665,-79,2.05,-85,1.4509999999999998,-81,4.71,-87,2.86,-90,0.984826,0.407682,1.46139,0.872662,0.406739,1.4624,0.869245,0.406488,1.35289,0.980421,0.40753,1.3502299999999998
17,17,1541175496,3.783,-83,3.778,-85,4.129,-90,0.615,-79,2.05,-84,1.5019999999999998,-82,4.6389999999999985,-87,2.902,-90,0.99513,0.407519,1.46096,0.8823350000000001,0.407274,1.46187,0.8798290000000001,0.406568,1.35184,0.990577,0.407548,1.34995
18,18,1541175496,3.787,-83,3.783,-85,4.1530000000000005,-89,0.625,-79,2.065,-85,1.5019999999999998,-81,4.597,-88,2.907,-91,1.00546,0.407681,1.46066,0.8932680000000001,0.406988,1.46187,0.8903399999999999,0.406862,1.35155,1.00096,0.407908,1.34969
19,19,1541175496,3.806,-84,3.769,-86,4.129,-90,0.611,-80,2.041,-87,1.526,-81,4.635,-89,2.893,-91,1.01598,0.408017,1.46066,0.903122,0.407436,1.4615,0.900308,0.4065760000000001,1.3526,1.01113,0.408057,1.34974
20,20,1541175496,3.783,-83,3.806,-88,4.125,-91,0.578,-80,2.018,-85,1.5630000000000002,-81,4.644,-87,2.893,-90,1.02525,0.407997,1.45997,0.913407,0.407768,1.46078,0.909752,0.407302,1.35236,1.0209,0.40808,1.34928
21,21,1541175496,3.769,-82,3.783,-86,4.11,-89,0.606,-79,2.018,-86,1.53,-81,4.686,-89,2.954,-90,1.03544,0.4077,1.45973,0.922689,0.407666,1.4611299999999998,0.920027,0.407364,1.35054,1.03057,0.408213,1.34837
22,22,1541175496,3.745,-83,3.792,-86,4.11,-90,0.615,-79,2.032,-85,1.5630000000000002,-81,4.7189999999999985,-89,2.935,-89,1.04503,0.408158,1.45982,0.933016,0.407462,1.46138,0.92956,0.407234,1.35107,1.04009,0.408466,1.34801
23,23,1541175496,3.797,-82,3.769,-86,4.148,-89,0.583,-79,2.032,-86,1.577,-82,4.625,-88,2.93,-90,1.05501,0.407937,1.46013,0.942746,0.407796,1.46128,0.939616,0.407141,1.35085,1.05017,0.408336,1.34871
24,24,1541175496,3.797,-83,3.773,-87,4.125,-91,0.5920000000000001,-79,2.036,-86,1.587,-81,4.686,-88,2.954,-90,1.06479,0.408457,1.45941,0.951718,0.407557,1.46078,0.949092,0.407512,1.35083,1.06003,0.408301,1.34868
25,25,1541175496,3.783,-82,3.755,-86,4.157,-90,0.578,-80,2.018,-85,1.568,-81,4.677,-88,2.9730000000000003,-89,1.07431,0.408367,1.45971,0.961932,0.407817,1.46059,0.958379,0.407156,1.35128,1.06951,0.408741,1.34772
26,26,1541175496,3.792,-82,3.769,-86,4.167,-90,0.583,-79,2.004,-85,1.615,-82,4.658,-88,2.987,-89,1.08413,0.408781,1.45887,0.97194,0.408041,1.46139,0.968072,0.407359,1.35107,1.07851,0.408528,1.34799
27,27,1541175496,3.802,-82,3.787,-87,4.181,-89,0.512,-80,1.999,-84,1.61,-82,4.799,-87,2.963,-91,1.0954700000000002,0.408409,1.45896,0.982933,0.407883,1.46218,0.977457,0.407691,1.3524,1.0880299999999998,0.408588,1.34758
28,28,1541175496,3.75,-83,3.773,-87,4.129,-88,0.503,-80,2.008,-85,1.634,-83,4.771,-87,2.9210000000000003,-90,1.10589,0.408698,1.45826,0.993458,0.408363,1.46242,0.986483,0.40789,1.35361,1.09729,0.408926,1.347
29,29,1541175496,3.783,-83,3.797,-87,4.143,-88,0.517,-80,1.994,-85,1.638,-83,4.747,-89,2.968,-90,1.11643,0.408468,1.45605,1.00406,0.408144,1.46229,0.995844,0.408061,1.35338,1.1065200000000002,0.408617,1.34574
30,30,1541175496,3.802,-83,3.83,-87,4.19,-88,0.536,-79,1.952,-84,1.629,-84,4.747,-87,2.954,-92,1.12651,0.408712,1.45428,1.0139200000000002,0.408378,1.46104,1.00548,0.407863,1.35178,1.11568,0.40871,1.34339
31,31,1541175496,3.769,-84,3.811,-88,4.148,-87,0.531,-79,1.966,-84,1.601,-84,4.78,-86,2.968,-91,1.13579,0.40896,1.45269,1.02348,0.407924,1.46054,1.01347,0.407636,1.35154,1.12402,0.40891,1.34166
32,32,1541175496,3.726,-85,3.863,-86,4.162,-88,0.508,-79,1.952,-84,1.634,-84,4.775,-86,2.959,-91,1.14485,0.409112,1.45171,1.03211,0.407802,1.46053,1.02166,0.407564,1.35093,1.1317700000000002,0.408973,1.34099
33,33,1541175496,3.764,-84,3.863,-86,4.214,-88,0.451,-80,1.985,-84,1.648,-84,4.78,-87,3.029,-93,1.1541,0.409219,1.44985,1.04127,0.408184,1.46019,1.02932,0.406977,1.35221,1.13973,0.408829,1.33945
34,34,1541175497,3.712,-84,3.834,-86,4.186,-90,0.503,-79,2.004,-84,1.605,-85,4.803,-87,3.0010000000000003,-92,1.16367,0.409378,1.44813,1.0518,0.408004,1.4605,1.03822,0.40707,1.35085,1.14816,0.408975,1.33788
35,35,1541175497,3.717,-84,3.872,-87,4.214,-88,0.475,-80,1.943,-83,1.61,-86,4.841,-86,0.0,0,1.17444,0.409005,1.44572,1.06282,0.408326,1.46005,1.0469700000000002,0.407229,1.3512,1.15674,0.409139,1.3357
36,36,1541175497,3.717,-84,3.872,-87,4.171,-88,0.489,-80,1.957,-85,1.53,-85,4.921,-86,3.221,-91,1.18499,0.409217,1.44321,1.07533,0.407826,1.46046,1.05652,0.407856,1.35037,1.16588,0.409017,1.33398
37,37,1541175497,3.708,-83,3.853,-87,4.171,-89,0.451,-79,1.98,-83,1.516,-86,4.822,-86,3.3280000000000003,-89,1.19575,0.409208,1.44166,1.08529,0.407787,1.45967,1.06598,0.407465,1.34994,1.17564,0.409162,1.33237
38,38,1541175497,3.712,-83,3.877,-87,4.204,-87,0.423,-79,1.943,-83,1.493,-86,4.822,-86,3.2260000000000004,-88,1.20735,0.409406,1.43835,1.09633,0.408463,1.4572200000000002,1.07564,0.407851,1.3494700000000002,1.1847299999999998,0.409006,1.32939
39,39,1541175497,3.675,-83,3.909,-87,4.228,-87,0.428,-80,1.966,-84,1.971,-85,4.846,-86,3.366,-91,1.21855,0.409132,1.43389,1.10818,0.408972,1.45614,1.08444,0.407829,1.34942,1.19319,0.409839,1.32533
40,40,1541175497,3.712,-82,3.914,-87,4.2,-87,0.386,-79,1.91,-84,1.671,-85,4.789,-85,3.572,-91,1.23054,0.410304,1.4302,1.12043,0.408661,1.45583,1.0933700000000002,0.408073,1.3491,1.20095,0.409069,1.32296
41,41,1541175497,3.684,-83,3.928,-86,4.176,-88,0.362,-80,1.928,-84,2.013,-85,4.85,-85,3.6,-89,1.2404700000000002,0.410399,1.42681,1.1321,0.408126,1.45593,1.10136,0.408412,1.34915,1.20851,0.409422,1.31975
42,42,1541175497,3.675,-82,3.914,-87,4.176,-88,0.343,-80,1.896,-84,1.961,-85,4.897,-85,3.221,-91,1.25013,0.410096,1.4232200000000002,1.14208,0.40911,1.45445,1.10912,0.407951,1.34932,1.2159,0.409591,1.31723
43,43,1541175497,3.698,-84,3.961,-86,4.232,-88,0.325,-80,1.9,-84,1.966,-85,4.864,-85,3.08,-95,1.25889,0.410399,1.41887,1.1523,0.40791,1.45327,1.1165200000000002,0.408116,1.34829,1.22216,0.40945,1.31445
44,44,1541175497,3.712,-83,4.027,-87,4.256,-89,0.334,-79,1.886,-83,1.933,-84,4.846,-85,3.282,-90,1.26822,0.4103850000000001,1.4135799999999998,1.16155,0.408046,1.45042,1.12333,0.407607,1.34729,1.2285,0.409737,1.30974
45,45,1541175497,3.68,-82,3.97,-87,4.204,-87,0.329,-79,1.928,-84,1.924,-83,4.878,-85,3.17,-92,1.27734,0.410326,1.40851,1.1726299999999998,0.408322,1.44839,1.13154,0.407727,1.34536,1.23497,0.409465,1.30582
46,46,1541175497,3.712,-83,4.027,-86,4.186,-86,0.297,-79,1.882,-83,1.905,-82,4.893,-85,3.127,-91,1.2873,0.41077,1.40337,1.18294,0.408861,1.44425,1.13968,0.407566,1.34369,1.24184,0.409433,1.30185
47,47,1541175497,3.722,-84,3.975,-86,4.204,-88,0.353,-79,1.868,-83,1.91,-83,4.874,-85,3.212,-90,1.2967799999999998,0.410607,1.39785,1.19441,0.408678,1.44305,1.14816,0.407687,1.34217,1.24906,0.409559,1.29673
48,48,1541175497,3.689,-83,3.989,-86,4.223,-87,0.334,-79,1.877,-84,1.896,-82,4.841,-85,3.188,-93,1.30351,0.41065,1.39374,1.20112,0.408919,1.44047,1.15353,0.407602,1.34068,1.25425,0.409473,1.29399
49,49,1541175497,3.651,-83,4.013,-86,4.209,-88,0.343,-79,1.886,-85,1.896,-82,4.902,-84,3.216,-91,1.31341,0.410707,1.38711,1.2127,0.409671,1.43694,1.16113,0.408143,1.34023,1.2597,0.409565,1.2889
50,50,1541175497,3.703,-83,4.0310000000000015,-86,4.237,-88,0.264,-79,1.891,-84,1.91,-82,4.874,-84,3.212,-92,1.32459,0.411131,1.37546,1.22689,0.409965,1.43223,1.171,0.40842,1.33755,1.26685,0.409699,1.28165
51,51,1541175497,3.68,-83,4.0680000000000005,-86,4.176,-88,0.231,-79,1.9,-84,1.9,-82,4.874,-84,3.235,-89,1.3332700000000002,0.410887,1.36766,1.23899,0.409364,1.4293,1.17718,0.408127,1.3370799999999998,1.2713299999999998,0.409547,1.27671
52,52,1541175497,3.675,-84,4.064,-87,4.176,-89,0.231,-79,1.924,-85,1.924,-82,4.86,-84,3.314,-91,1.34031,0.410501,1.3584200000000002,1.24986,0.40949,1.42526,1.18478,0.40796,1.3355,1.27585,0.40963,1.27168
53,53,1541175497,3.637,-84,4.05,-86,4.162,-90,0.236,-79,1.971,-85,1.961,-82,4.864,-86,3.277,-90,1.34959,0.41133,1.35087,1.26018,0.409199,1.41969,1.19262,0.408083,1.33313,1.28076,0.409632,1.26571
54,54,1541175498,3.684,-86,4.0539999999999985,-85,4.2,-90,0.287,-79,1.994,-85,1.943,-82,4.883,-84,3.245,-89,1.35732,0.410966,1.34219,1.27028,0.40992,1.41282,1.19994,0.408133,1.33045,1.28494,0.409743,1.25951
55,55,1541175498,3.666,-85,4.064,-86,4.2,-90,0.226,-78,2.069,-83,1.961,-82,4.822,-84,3.292,-90,1.36543,0.410792,1.33283,1.28349,0.408624,1.40875,1.20706,0.408267,1.32663,1.28962,0.40988,1.25259
56,56,1541175498,3.609,-85,4.0680000000000005,-86,4.237,-89,0.24,-79,1.994,-83,1.961,-83,4.836,-84,3.338,-88,1.37303,0.410905,1.32389,1.2945799999999998,0.408528,1.40099,1.21401,0.408574,1.32252,1.29414,0.409748,1.24571
57,57,1541175498,3.633,-85,4.035,-86,4.275,-89,0.287,-79,1.98,-83,1.961,-84,4.813,-85,3.292,-88,1.37816,0.410663,1.3132,1.3051,0.408595,1.39499,1.22098,0.408865,1.31883,1.29796,0.40987,1.23895
58,58,1541175498,3.595,-86,4.059,-86,4.3580000000000005,-91,0.306,-79,1.975,-83,1.957,-84,4.827,-85,3.314,-89,1.38697,0.411242,1.30239,1.31339,0.4098020000000001,1.38802,1.22825,0.408653,1.31624,1.30159,0.409901,1.2323
59,59,1541175498,3.614,-85,4.027,-86,4.387,-89,0.226,-78,1.961,-82,1.928,-85,4.794,-85,3.342,-90,1.39083,0.412156,1.29144,1.32307,0.410254,1.37956,1.23487,0.408883,1.31156,1.30406,0.409955,1.22574
60,60,1541175498,3.614,-85,4.045,-86,4.34,-89,0.198,-79,1.928,-82,1.919,-86,4.789,-85,3.394,-90,1.39763,0.410075,1.28269,1.33252,0.4095,1.37418,1.24048,0.409146,1.30656,1.30696,0.409826,1.21878
61,61,1541175498,3.619,-85,4.05,-86,4.401,-87,0.259,-79,1.928,-82,1.924,-86,4.803,-85,3.389,-88,1.40329,0.410765,1.27261,1.33976,0.410948,1.36664,1.2461799999999998,0.409014,1.3007,1.31045,0.410293,1.21106
