,R1,R2,R3,R4,R5,R6,R7,R8,X_M5,Y_M5,Z_M5
0,1.273,2.79,1.4409999999999998,1.38,1.685,1.325,0.959,1.212,0.36164,0.6359670000000001,0.698657
1,1.325,2.809,1.446,1.408,1.727,1.297,0.964,1.193,0.35877800000000004,0.63092,0.698538
2,1.334,2.795,1.4409999999999998,1.408,1.713,1.329,0.941,1.189,0.356401,0.626288,0.6985689999999999
3,1.348,2.767,1.4269999999999998,1.385,1.704,1.311,0.964,1.151,0.354643,0.621681,0.698329
4,1.325,2.7430000000000003,1.418,1.4269999999999998,1.671,1.315,0.988,1.198,0.353077,0.616855,0.698435
5,1.315,2.753,1.455,1.408,1.685,1.3530000000000002,0.988,1.212,0.351995,0.6138,0.698639
6,1.334,2.776,1.46,1.38,1.676,1.385,0.927,1.189,0.3512416666666667,0.6121443333333333,0.698441
7,1.3530000000000002,2.786,1.446,1.376,1.666,1.362,0.941,1.207,0.3504883333333333,0.6104886666666666,0.698243
8,1.306,2.7430000000000003,1.469,1.4269999999999998,1.666,1.394,0.945,1.226,0.349735,0.608833,0.6980449999999999
9,1.371,2.734,1.493,1.394,1.704,1.348,0.974,1.17,0.350505,0.6015010000000001,0.697874
10,1.339,2.725,1.465,1.371,1.7180000000000002,1.413,1.02,1.179,0.348874,0.593105,0.698058
11,1.357,2.725,1.4369999999999998,1.371,1.676,1.446,0.983,1.1840000000000002,0.345929,0.5868939999999999,0.6981939999999999
12,1.339,2.72,1.4509999999999998,1.432,1.666,1.38,0.955,1.175,0.343306,0.586345,0.698105
13,1.329,2.701,1.4409999999999998,1.399,1.662,1.38,0.955,1.198,0.34465500000000004,0.58678,0.6979289999999999
14,1.348,2.7060000000000004,1.465,1.418,1.648,1.394,0.964,1.226,0.34649800000000003,0.582695,0.69783
15,1.339,2.729,1.408,1.408,1.671,1.413,0.969,1.198,0.346934,0.576762,0.697827
16,1.357,2.7430000000000003,1.535,1.4369999999999998,1.699,1.432,0.992,1.17,0.345242,0.570534,0.697453
